
Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do artista;Nome do álbum;Formato;Formato do álbum;Com faixas adicionais;Ano de lançamento;Quantidade de canções;Gênero;Origem;Quantidade de álbuns;
MLB1541623154;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Diego E Danimar - Ninguém Vai Ficar Entre A Gente;;Diego e Danimar;Ninguém Vai Ficar Entre a Gente;Físico;CD;Não;1998;14;Sertanejo;Brasil;1;
MLB1609904991;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Forró Chama Chuva - A Novidade, Cd Single;;CD Forró Chama Chuva - A Novidade, CD Single;CD Forró Chama Chuva - A Novidade, CD Single;Físico;CD;Não;;2;;;1;
MLB1542525149;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Realidade Alternativa - Labirinto Da Solidão;;Realidade Alternativa;Labirinto da Solidão;Físico;CD;Não;2002;11;Brasileira;Brasil;1;
MLB1560880124;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Fábio Júnior - Dou Minha Palavra;;Cd Single Fábio Júnior - Dou Minha Palavra;Cd Single Fábio Júnior - Dou Minha Palavra;Físico;CD;Não;;1;Romântica;Brasil;1;
MLB1639857576;;;MLB-MUSIC_ALBUMS;MLB1174;Toshiko Akiyoshi-lew Tabackin Big Band ¿ Salted Gingko Nuts;;Toshiko Akiyoshi-Lew Tabackin Big Band ¿– Salted Gingko Nuts;Toshiko Akiyoshi-Lew Tabackin Big Band ¿– Salted Gingko Nuts;Físico;Vinil;Não;1979;6;Pop;Brasil;1;
MLB1609265459;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Yahoo - Versões;;CD Yahoo - Versões;CD Yahoo - Versões;Físico;CD;;;12;;Brasil;1;
MLB1549434882;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Karla Sabah - Drum'n Bossa;;Cd Karla Sabah - Drum'n Bossa;Cd Karla Sabah - Drum'n Bossa;Físico;CD;Não;1994;15;Bossa Nova;Brasil;1;
MLB1640294716;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Jazz Sebastien Bach - Les Swingle Singers;;Vinil Jazz Sebastien Bach - Les Swingle Singers;Vinil Jazz Sebastien Bach - Les Swingle Singers;Físico;Vinil;Não;;13;Pop;Brasil;1;
MLB1647348057;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Pitwawa;;Cd Pitwawa;Cd Pitwawa;Físico;CD;Não;;13;Pop;Brasil;1;
MLB1554338633;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Elba Ramalho - Leão Do Norte;;Cd Elba Ramalho - Leão do Norte;Cd Elba Ramalho - Leão do Norte;Físico;CD;Sim;;15;MPB;Brasil;1;
MLB1542548039;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Talessa - Jambalaya On The Bayou;;Talessa;Jambalaya on The Bayou;Físico;CD;Não;1996;5;Internacional;Brasil;1;
MLB1610020568;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Single Art Popular - História Sem Fim;;Cd Single Art Popular - História Sem Fim;Cd Single Art Popular - História Sem Fim;Físico;CD;Não;2001;1;;Brasil;1;
MLB1544798659;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Os Anjos - Namorada De Amiga Minha É Homem;;Os Anjos;Namorada de Amiga Minha é Homem;Físico;CD;Não;1999;4;Promo Mix;Brasil;1;
MLB1673077548;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Bee Gees On Night Only;;Dvd Bee Gees On Night Only;Dvd Bee Gees On Night Only;Físico;DVD;Não;1997;;Pop;Brasil;1;
MLB1549465762;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Nepal  E Eu Mascate;;Cd Single Nepal  e Eu Mascate;Cd Single Nepal  e Eu Mascate;Físico;CD;Não;1997;2;Brasileira;Brasileira;1;
MLB1541651487;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Sérgio Rick - Rap Jam;;Sérgio Rick;Rap Jam;Físico;CD;Não;1995;12;Rap;Brasil;1;
MLB1609932368;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Nenhum De Nós - Amanhã Ou Depois;;CD Single Nenhum de Nós - Amanhã ou Depois;CD Single Nenhum de Nós - Amanhã ou Depois;Físico;CD;Não;;;;;;
MLB1541659000;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Filosofia - Chaves Do Pensar;;Filosofia;Chaves do Pensar;Físico;CD;Não;2000;19;FIlosofia;Brasil;1;
MLB1541619156;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Grupo Tokitô - Mafumangá;;Grupo Tokitô;Mafumangá;Físico;CD;Não;1990;12;Pagode;Brasil;1;
MLB1608929894;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Tibério Gaspar Canta;;CD Tibério Gaspar Canta;CD Tibério Gaspar Canta;Físico;CD;Não;;14;;;1;
MLB1609304662;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Grupo Perfil - Miragem;;CD Grupo Perfil - Miragem;CD Grupo Perfil - Miragem;Físico;CD;;;15;;;1;
MLB1542566504;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Os Serranos - Casamento De Sítio - Vanera, Vanera;;Cd Single Os Serranos;Casamento de Sítio - Vanera, Vanera;Físico;CD;Não;2002;2;Brasileira;Brasil;1;
MLB1549379683;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Jota Quest Dias Melhores;;Cd Single Jota Quest Dias Melhores;Cd Single Jota Quest Dias Melhores;Físico;CD;Não;;1;Pop;Brasil;1;
MLB1541650358;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Gal Costa - Baby;;Gal Costa;Baby;Físico;CD;Não;1994;18;MPB;Brasil;1;
MLB1545754828;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Mariana Davies - Por Hoje;;Cd Single Mariana Davies - Por Hoje;Cd Single Mariana Davies - Por Hoje;Físico;CD;Não;2000;1;Brasileira;Brasileira;1;
MLB1549421114;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Fincabaute - Coisa De Maluco;;Cd Fincabaute - Coisa de Maluco;Cd Fincabaute - Coisa de Maluco;Físico;CD;Não;1997;10;Brasileira;Brasileira;1;
MLB1547916963;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Planta E Raiz - A Dois Passos Do Paraíso ;;Cd Single Planta e Raiz - A Dois Passos do Paraíso;Cd Single Planta e Raiz - A Dois Passos do Paraíso;Físico;CD;Não;2003;1;Reggae;Brasil;1;
MLB1609372173;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Promocional Raça Negra - E Não Vou Mais Deixar Voc;;CD Single Promocional Raça Negra - E Não Vou Mais Deixar Você Tão Só;CD Single Promocional Raça Negra - E Não Vou Mais Deixar Você Tão Só;Físico;CD;;2002;1;Pagode;Brasil;1;
MLB1553414999;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Ivete Sangalo - Canibal;;Cd Ivete Sangalo - Canibal;Cd Ivete Sangalo - Canibal;Físico;CD;Não;;14;Axé;Brasil;1;
MLB1553495742;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Billy Bang - Sem Você Aqui;;Cd Single Billy Bang - Sem Você Aqui;Cd Single Billy Bang - Sem Você Aqui;Físico;CD;Não;;1;Country;Brasil;1;
MLB1541664239;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Fernanda Abreu - A Noite;;Fernanda Abreu;Ao Vivo MTV;Físico;CD;Não;2006;16;MPB;Brasil;1;
MLB1609883374;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Virgin Hits 1 99 - Single Promocional;;CD Virgin Hits 1 99 - Single Promocional;CD Virgin Hits 1 99 - Single Promocional;Físico;CD;Não;1999;15;Hits;Brasil;1;
MLB1639155077;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Melhores Momentos - Cazuza E Barão Vermelho;;Vinil Melhores Momentos - Cazuza e Barão Vermelho;Vinil Melhores Momentos - Cazuza e Barão Vermelho;Físico;Vinil;Não;1989;15;Rock;Brasil;1;
MLB1640185874;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Franck Pourcel - My Love - Et Son Grand Orchestre;;Vinil Franck Pourcel - My Love - Et Son Grand Orchestre;Vinil Franck Pourcel - My Love - Et Son Grand Orchestre;Físico;Vinil;Não;1973;12;Jazz;Brasil;1;
MLB1639210868;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Aki Yashiro - Funa Uta - Cantigas De Barqueiro;;Vinil Aki Yashiro - Funa Uta - Cantigas de Barqueiro;Vinil Aki Yashiro - Funa Uta - Cantigas de Barqueiro;Físico;Vinil;Não;1981;14;Pop;Brasil;1;
MLB1544842122;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Os Serranos - Interpretam Sucessos Gaúchos;;Os Serranos;Interpretam Sucessos Gaúchos;Físico;CD;Não;;15;Música Gaúcha;Brasil;1;
MLB1673720270;;;MLB-MUSIC_ALBUMS;MLB1174; Dvd Roberto Carlos - En Vivo;;DVD ROBERTO CARLOS - EN VIVO;DVD ROBERTO CARLOS - EN VIVO;Físico;DVD;Não;;18;MPB;Brasil;1;
MLB1541642451;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Conexão Japerí;;Cd Conexão Japerí;Cd Conexão Japerí;Físico;CD;Não;1990;10;Brasileira;Brasil;1;
MLB1609951744;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Single Ki Prazer - Pianinho;;CD Single Ki Prazer - Pianinho;CD Single Ki Prazer - Pianinho;Físico;CD;Não;;1;;;1;
MLB1673058609;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Simply Red - Live In London;;Dvd Simply Red - Live In London;Dvd Simply Red - Live In London;Físico;DVD;Não;;26;Pop;Londres;1;
MLB1542557997;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Kebradeira - De Banda;;Kebradeira;De Banda;Físico;CD;Não;2001;14;Axé;Brasil;1;
MLB1549448613;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Paratodos - Alucinado;;Cd Paratodos - Alucinado;Cd Paratodos - Alucinado;Físico;CD;Não;;13;Brasileira;Brasileira;1;
MLB1545665936;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Araketu - Incendeia;;Araketu;Incendeia;Físico;CD;Sim;;13;Axé;Brasil;1;
MLB1560880147;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Fábio Júnior - Dou Minha Palavra;;Cd Single Fábio Júnior - Dou Minha Palavra;Cd Single Fábio Júnior - Dou Minha Palavra;Físico;CD;Não;;1;Romântica;Brasil;1;
MLB1554360598;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Gera Samba - Mais Uma Dança;;Cd Gera Samba - Mais Uma Dança;Cd Gera Samba - Mais Uma Dança;;CD;;;14;Axé;Brasil;1;
MLB1541641117;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Os Santannas - Viciado Em Vanerão;;Os Santannas;Viciado em Vanerão;Físico;CD;Não;1999;12;Música Gaucha;Brasil;1;
MLB1609242107;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Simplesmente Luiza Lu;;CD Simplesmente Luiza Lu;CD Simplesmente Luiza Lu;Físico;CD;Não;;12;;;1;
MLB1542525699;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Claudio Goldman - Estrela Do Meu Céu;;Claudio Goldman;Estrela do Meu Céu - Tema da Novela Anjo Mau;Físico;CD;Não;1997;1;Novela;Brasil;1;
MLB1542563515;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Sheryl Crow - Maybe Angels;;Sheryl Crow;Maybe Angels;Físico;CD;Não;1996;15;Internacional;Brasil;1;
MLB1541654899;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Terral - Relampeou;;Terral;Relampeou;Físico;CD;Não;2001;12;Rap;Brasil;1;
MLB1544500978;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Tarzan You'll Be In My Heart - Phil Collins;;Phil Collins;Cd Tarzan You'll Be In My Heart;Físico;CD;Não;1999;1;Filme;Brasil;1;
MLB1541668632;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Cavaleiros Templários - Coletânea Especial;;Cavaleiros Templários;Coletânea Especial;Físico;CD;Sim;2000;33;Música Medieval;Brasil;1;
MLB1559958027;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Marlon E Maicon - Você Vai Se Arrepender;;Marlos e Maicon;Você Vai se Arrepender;Físico;CD;;2003;1;Sertanejo;Brasil;1;
MLB1553480621;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Coldplay - Yellow;;Cd Single Coldplay - Yellow;Cd Single Coldplay - Yellow;Físico;CD;Não;;2;Internacional;Brasil;1;
MLB1643457199;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Dvorak - Sinfonia Nº 9 Opus 95 Do Novo Mundo;;Vinil Dvorak - Sinfonia Nº 9 Opus 95 Do Novo Mundo;Vinil Dvorak - Sinfonia Nº 9 Opus 95 Do Novo Mundo;Físico;Vinil;Não;;4;Orquestra;Brasil;1;
MLB1540622496;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Milton Nascimento - A Barca Dos Amantes;;Milton Nascimento;A Barca dos Amantes;Digital;CD;Não;1989;9;MPB;Brasil;1;
MLB1549414908;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Pepeu Gomes - Geração Pop;;Cd Pepeu Gomes - Geração Pop;Cd Pepeu Gomes - Geração Pop;Físico;CD;Não;;12;MPB;Brasil;1;
MLB1553402754;;;MLB-MUSIC_ALBUMS;MLB1174;Cd 40 Graus Paradoxx Music Volume 2;;Cd 40 Graus Paradoxx Music Volume 2;Cd 40 Graus Paradoxx Music Volume 2;Físico;CD;Não;1998;14;Dance;Brasil;1;
MLB1544830281;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Copacabana Beat - Jóia Rara;;Copacabana Beat;Jóia Rara;Físico;CD;Não;1998;14;Axé;Brasil;1;
MLB1549431102;;;MLB-MUSIC_ALBUMS;MLB1174;Cd A Volta Do Asa Branca - Tributo A Luiz Gonzaga;;Cd A Volta do Asa Branca - Tributo a Luiz Gonzaga;Cd A Volta do Asa Branca - Tributo a Luiz Gonzaga;Físico;CD;Não;1994;12;Brasileira;Brasileira;1;
MLB1674049891;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Jay-z Fade To Black;;DVD JAY-Z FADE TO BLACK;DVD JAY-Z FADE TO BLACK;Físico;DVD;Não;;;Pop;Brasil;1;
MLB1553386202;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Beto Jamaica - É De Remexer, É De Rebolar;;Cd Beto Jamaica - É de Remexer, É de Rebolar;Cd Beto Jamaica - É de Remexer, É de Rebolar;Físico;CD;Não;2000;14;Axé;Brasil;1;
MLB1541407618;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Serginho De Matos - Amor A Vida;;Serginho de Matos;Amor à Vida;Físico;CD;Não;2000;11;Gospel;Brasil;1;
MLB1554902583;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Leila Pinheiro - Reencontro;;Cd Single Leila Pinheiro - Reencontro;Cd Single Leila Pinheiro - Reencontro;Físico;CD;Não;;1;Brasil;Brasil;1;
MLB1639249934;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Fernando Gallo Em Duas Épocas;;Vinil Fernando Gallo em Duas Épocas;Vinil Fernando Gallo em Duas Épocas;Físico;Vinil;Não;;18;Pop;Brasil;1;
MLB1609960998;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Single Zoo - Rola Eu E Você;;CD Single Zoo - Rola Eu e Você;CD Single Zoo - Rola Eu e Você;Físico;CD;Não;1999;1;;Brasil;1;
MLB1610012947;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Rio Negro E Solimões - Ajeite O Trem Aí;;CD Single Rio Negro e Solimões - Ajeite o trem Aí;CD Single Rio Negro e Solimões - Ajeite o trem Aí;Físico;CD;Não;2005;1;Sertanejo;Brasil;1;
MLB1553433227;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Os Monarcas - Locomotiva Campeira;;Cd Os Monarcas - Locomotiva Campeira;Cd Os Monarcas - Locomotiva Campeira;Físico;CD;Não;1999;13;Música Gaúcha;Brasil;1;
MLB1545777716;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Mano Lima - Espantando Bagual;;Cd Single Mano Lima - Espantando Bagual;Cd Single Mano Lima - Espantando Bagual;Físico;CD;Não;;1;Brasileira;Brasileira;1;
MLB1673688659;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd America & Friends - Live At The Venture Theater;;DVD America & Friends - Live at the Venture Theater;DVD America & Friends - Live at the Venture Theater;Físico;DVD;Não;;1;Musical;Brasil;1;
MLB1609286121;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Nome Nowe;;CD Nome Nowe;CD Nome Nowe;Físico;CD;Não;;10;;;1;
MLB1553447463;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Vinny - Tanto Faz;;Cd Single Vinny - Tanto Faz;Cd Single Vinny - Tanto Faz;Físico;CD;Não;1999;1;Promocional;Brasil;1;
MLB1643620155;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Os Cascavelletes - Rock A Ula;;Vinil Os Cascavelletes - Rock A Ula;Vinil Os Cascavelletes - Rock A Ula;Físico;Vinil;Não;1989;11;Rock;Brasil;1;
MLB1560658701;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Promo Dj 96 - Spotlight Records;;Cd Promo DJ 96 - Spotlight Records;Cd Promo DJ 96 - Spotlight Records;Físico;CD;Não;1996;11;Dance;Brasil;1;
MLB1544927277;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Cleiton E Camargo - Nuvem Passageira;;Cleiton e Camargo;Nuvem Passageira;Físico;CD;Não;1996;1;Sertanejo;Brasil;1;
MLB1540666627;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Pedro Paulo E Fabiano - Causa Perdida;;Pedro Paulo e Fabiano;Causa Perdida;Físico;CD;Não;2000;5;Sertanejo;Brasil;1;
MLB1673099181;;;MLB-MUSIC_ALBUMS;MLB1174; Dvd Donna Summer - Show Exclusivo;;DVD Donna Summer - Show Exclusivo;DVD Donna Summer - Show Exclusivo;Físico;DVD;Não;2000;1;Pop;Brasil;1;
MLB1643561371;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Peppino Di Capri E I Suoi Rockers - Volume 2;;Vinil Peppino di Capri e i Suoi Rockers - Volume 2;Vinil Peppino di Capri e i Suoi Rockers - Volume 2;Físico;Vinil;Não;;12;Orquestra;Brasil;1;
MLB1544703541;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Forró Chama Chuva - Samarina;;Forró Chama Chuva;Samarina;Físico;CD;Não;2001;1;Forró;Brasil;1;
MLB1541798394;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Geraldi - Melhor Sozinho;;Geraldi;Melhor Sozinho;Físico;CD;Não;2003;16;Romântica;Brasil;1;
MLB1549484605;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Martinho Da Vila - Ta Delícia Tá Gostoso;;Cd Martinho da Vila - Ta Delícia Tá Gostoso;Cd Martinho da Vila - Ta Delícia Tá Gostoso;Físico;CD;Não;;12;Samba;Brasil;1;
MLB1544923900;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Pimenta Nativa Ao Vivo - Tá Gostoso;;Pimenta Nativa;Ao Vivo - Tá Gostoso;Físico;CD;Não;1990;14;Brasileira;Brasil;1;
MLB1610524885;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Rock Star Special Nº 8 Promo Disco Internacional Nº 31;;Vinil Rock Star Special Nº 8 Promo Disco Internacional Nº 31;Vinil Rock Star Special Nº 8 Promo Disco Internacional Nº 31;Físico;Vinil/LP;Não;1990;;Rock;Brasil;1;
MLB1553458259;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Fina Stampa - Chega Mais;;Cd Fina Stampa - Chega Mais;Cd Fina Stampa - Chega Mais;Físico;CD;Não;;12;Pagode;Brasil;1;
MLB1549472912;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Ponto Crucial - Distração;;Cd Ponto Crucial - Distração;Cd Ponto Crucial - Distração;Físico;CD;Não;;11;Brasileira;Brasileira;1;
MLB1553470439;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Fera Gorda - Patricinha;;Cd Fera Gorda - Patricinha;Cd Fera Gorda - Patricinha;Físico;CD;Não;1998;11;Promocional;Brasil;1;
MLB1609994218;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Milton Gil - Sebastians;;CD Single Milton Gil - Sebastians;CD Single Milton Gil - Sebastians;Físico;CD;;2000;1;MPB;Brasil;1;
MLB1542526446;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Swing E Simpatia;;Swing e Simpatia;Pras Sempre na Minha Vida;Físico;CD;Não;1990;14;Pagode;Brasil;1;
MLB1544739308;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Everclear - Tema Do Filme Ameaça Virtual;;Everclear;Tema do Filme Ameaça Virtual;Físico;CD;Não;2000;1;Filme;Brasil;1;
MLB1541614395;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Plastika - Misthiura ;;Plastika;Misthiura;Físico;CD;Não;1990;12;MPB;Brasil;1;
MLB1542529081;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Glad - Por Inteiro E O Quase Tudo;;Glad;Por Inteiro e o Quase Tudo;Físico;CD;Não;2001;12;Brasileira;Brrasil;1;
MLB1540696158;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Baby Face - And Our Feelings;;Baby Face;And Our Feelings;Físico;CD;Não;1994;2;Internacional;EUA;1;
MLB1560682073;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Soul Ii Soul Love Enuff - Promo Single;;Cd Soul II Soul Love Enuff - Promo Single;Cd Soul II Soul Love Enuff - Promo Single;Físico;CD;Não;1995;4;Soul;Brasil;1;
MLB1553382758;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Orquestra Da Terra - Volume 1;;Orquestra da Terra;Volume 1;Físico;CD;Não;1996;11;Orquestra;Brasil;1;
MLB1608980301;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Promo 4 Max Music - The Max Music;;CD Promo 4 Max Music - The Max Music;CD Promo 4 Max Music - The Max Music;Físico;CD;;1998;4;Dance;Brasil;1;
MLB1553488705;;;MLB-MUSIC_ALBUMS;MLB1174;Cd John Berry - Standing On The Edge;;Cd John Berry - Standing On The Edge;Cd John Berry - Standing On The Edge;Físico;CD;Não;1995;11;Internacional;Brasil;1;
MLB1553320185;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Samba Que Te Quero Sempre 3;;Cd Samba Que te Quero Sempre 3;Cd Samba Que te Quero Sempre 3;Físico;CD;Não;1995;13;Samba;Brasil;1;
